,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,language
348,,,20.13,,,,,,,,,
349,,,21.22,,,,,,,,,
350,,,49.99,,,,,,,,,
351,,,54.15,,,,,,,,,
352,,,39.99,,,,,,,,,
353,,,61.25,,,,,,,,,
354,,,40.84,,,,,,,,,
355,,,41.99,,,,,,,,,
356,,,41.99,,,,,,,,,
357,,,40.71,,,,,,,,,
358,,,45.99,,,,,,,,,
359,,,40.0,,,,,,,,,
360,,,48.98,,,,,,,,,
361,,,46.99,,,,,,,,,
362,,,32.01,,,,,,,,,
363,,,11.89,,,,,,,,,
364,,,67.98,,,,,,,,,
365,,,34.87,,,,,,,,,
366,,,37.0,,,,,,,,,
367,,,39.95,,,,,,,,,
368,,,44.99,,,,,,,,,
369,,,,,,,,,,,,
370,,,54.44,,,,,,,,,
371,,,36.46,,,,,,,,,
372,,,29.99,,,,,,,,,
373,,,30.22,,,,,,,,,
374,,,9.99,,,,,,,,,
375,,,18.51,,,,,,,,,
376,,,24.49,,,,,,,,,
377,,,40.49,,,,,,,,,
378,,,46.491537396121885,,,,,,,,,
379,,,33.61,,,,,,,,,
380,,,47.7,,,,,,,,,
381,,,46.491537396121885,,,,,,,,,
382,,,55.48,,,,,,,,,
383,,,34.49,,,,,,,,,
384,,,20.49,,,,,,,,,
385,,,40.49,,,,,,,,,
386,,,46.491537396121885,,,,,,,,,
387,,,46.491537396121885,,,,,,,,,
388,,,46.491537396121885,,,,,,,,,
389,,,46.491537396121885,,,,,,,,,
390,,,46.491537396121885,,,,,,,,,
391,,,41.99,,,,,,,,,
392,,,46.491537396121885,,,,,,,,,
393,,,46.491537396121885,,,,,,,,,
394,,,27.97,,,,,,,,,
395,,,46.491537396121885,,,,,,,,,
396,,,,,,,,,,,,
397,,,27.0,,,,,,,,,
398,,,46.491537396121885,,,,,,,,,
399,,,78.41,,,,,,,,,
400,,,18.99,,,,,,,,,
401,,,46.491537396121885,,,,,,,,,
402,,,30.99,,,,,,,,,
403,,,6.99,,,,,,,,,
404,,,46.491537396121885,,,,,,,,,
405,,,22.3,,,,,,,,,
406,,,31.49,,,,,,,,,
407,,,60.03,,,,,,,,,
408,,,46.491537396121885,,,,,,,,,
409,,,39.55,,,,,,,,,
410,,,46.491537396121885,,,,,,,,,
411,,,23.14,,,,,,,,,
412,,,59.99,,,,,,,,,
413,,,51.48,,,,,,,,,
414,,,29.99,,,,,,,,,
415,,,58.11,,,,,,,,,
416,,,,,,,,,,,,
417,,,35.99,,,,,,,,,
418,,,3.99,,,,,,,,,
419,,,44.99,,,,,,,,,
420,,,46.491537396121885,,,,,,,,,
421,,,13.75,,,,,,,,,
422,,,49.99,,,,,,,,,
423,,,28.49,,,,,,,,,
424,,,46.491537396121885,,,,,,,,,
425,,,28.49,,,,,,,,,
426,,,48.78,,,,,,,,,
427,,,29.99,,,,,,,,,
428,,,46.491537396121885,,,,,,,,,
429,,,46.491537396121885,,,,,,,,,
430,,,,,,,,,,,,
431,,,46.99,,,,,,,,,
432,,,29.24,,,,,,,,,
433,,,11.97,,,,,,,,,
434,,,49.99,,,,,,,,,
435,,,27.32,,,,,,,,,
436,,,46.491537396121885,,,,,,,,,
437,,,71.75,,,,,,,,,
438,,,50.99,,,,,,,,,
439,,,46.491537396121885,,,,,,,,,
440,,,16.99,,,,,,,,,
441,,,29.95,,,,,,,,,
442,,,59.99,,,,,,,,,
443,,,46.491537396121885,,,,,,,,,
444,,,59.77,,,,,,,,,
445,,,49.99,,,,,,,,,
446,,,7.0,,,,,,,,,
447,,,37.11,,,,,,,,,
448,,,46.491537396121885,,,,,,,,,
449,,,46.491537396121885,,,,,,,,,
450,,,39.45,,,,,,,,,
451,,,65.05,,,,,,,,,
452,,,41.99,,,,,,,,,
453,,,27.95,,,,,,,,,
454,,,29.0,,,,,,,,,
455,,,44.95,,,,,,,,,
456,,,29.05,,,,,,,,,
457,,,4.95,,,,,,,,,
458,,,32.99,,,,,,,,,
459,,,36.5,,,,,,,,,
460,,,46.491537396121885,,,,,,,,,
461,,,9.23,,,,,,,,,
462,,,46.491537396121885,,,,,,,,,
463,,,38.99,,,,,,,,,
464,,,39.99,,,,,,,,,
465,,,48.84,,,,,,,,,
466,,,46.491537396121885,,,,,,,,,
467,,,61.24,,,,,,,,,
468,,,56.99,,,,,,,,,
469,,,44.99,,,,,,,,,
470,,,24.99,,,,,,,,,
471,,,19.95,,,,,,,,,
472,,,40.84,,,,,,,,,
473,,,24.49,,,,,,,,,
474,,,19.99,,,,,,,,,
475,,,46.491537396121885,,,,,,,,,
476,,,19.99,,,,,,,,,
477,,,46.491537396121885,,,,,,,,,
478,,,57.49,,,,,,,,,
479,,,19.89,,,,,,,,,
480,,,10.04,,,,,,,,,
481,,,39.99,,,,,,,,,
482,,,34.95,,,,,,,,,
483,,,35.99,,,,,,,,,
484,,,22.99,,,,,,,,,
485,,,46.491537396121885,,,,,,,,,
486,,,46.491537396121885,,,,,,,,,
487,,,42.75,,,,,,,,,
488,,,47.99,,,,,,,,,
489,,,54.99,,,,,,,,,
490,,,16.22,,,,,,,,,
491,,,46.491537396121885,,,,,,,,,
492,,,8.99,,,,,,,,,
493,,,49.18,,,,,,,,,
494,,,45.99,,,,,,,,,
495,,,53.92,,,,,,,,,
496,,,18.8,,,,,,,,,
497,,,23.72,,,,,,,,,
498,,,24.49,,,,,,,,,
